date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:13	27283/27283	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20May%202021%2008:51:53%20GMT	https://www.tutorialspoint.com/java/java_linkedhashset_class.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_linkedhashset_class.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:14	29662/29662	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2020:10:04%20GMT	https://www.tutorialspoint.com/java/java_treeset_class.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_treeset_class.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:14	29975/29975	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Jun%202021%2009:40:15%20GMT	https://www.tutorialspoint.com/java/java_hashmap_class.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_hashmap_class.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:14	30905/30905	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Jun%202021%2014:10:04%20GMT	https://www.tutorialspoint.com/java/java_treemap_class.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_treemap_class.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:15	30656/30656	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Jun%202021%2001:34:06%20GMT	https://www.tutorialspoint.com/java/java_weakhashmap_class.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_weakhashmap_class.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:15	29146/29146	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20May%202021%2019:48:20%20GMT	https://www.tutorialspoint.com/java/java_linkedhashmap_class.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_linkedhashmap_class.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:15	30948/30948	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2009:21:10%20GMT	https://www.tutorialspoint.com/java/java_identityhashmap_class.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_identityhashmap_class.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:15	36050/36050	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Jun%202021%2006:57:23%20GMT	https://www.tutorialspoint.com/java/java_vector_class.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_vector_class.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:16	27716/27716	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Jun%202021%2015:24:30%20GMT	https://www.tutorialspoint.com/java/java_stack_class.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_stack_class.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:16	27012/27012	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2021:37:03%20GMT	https://www.tutorialspoint.com/java/java_dictionary_class.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_dictionary_class.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:16	30881/30881	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Jun%202021%2009:22:16%20GMT	https://www.tutorialspoint.com/java/java_hashtable_class.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_hashtable_class.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:17	29644/29644	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2006:54:15%20GMT	https://www.tutorialspoint.com/java/java_properties_class.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_properties_class.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:17	31991/31991	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Jun%202021%2015:54:23%20GMT	https://www.tutorialspoint.com/java/java_bitset_class.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_bitset_class.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:17	33870/33870	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Jun%202021%2009:40:18%20GMT	https://www.tutorialspoint.com/java/java_collection_algorithms.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_collection_algorithms.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:17	30861/30861	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20May%202021%2008:38:40%20GMT	https://www.tutorialspoint.com/java/java_using_iterator.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_using_iterator.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:18	28125/28125	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2021:07:23%20GMT	https://www.tutorialspoint.com/java/java_using_comparator.htm	D:/httrack/java/Java/www.tutorialspoint.com/java/java_using_comparator.html	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:18	6655/6655	---M--	200	added ('OK')	image/png	etag:%2219ff-57d4687052f80%22	https://www.tutorialspoint.com/images/logo-black.png	D:/httrack/java/Java/www.tutorialspoint.com/images/logo-black.png	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:18	5064/5064	---M-Z	200	added ('OK')	application/javascript	etag:%2213c8-5aa87d1699697-gzip%22	https://www.tutorialspoint.com/videotutorials/js/text_menu.js?v=1	D:/httrack/java/Java/www.tutorialspoint.com/videotutorials/js/text_menu3860.js	(from https://www.tutorialspoint.com/java/java_collections.htm)
11:40:19	6494/6494	---M--	200	added ('OK')	image/gif	etag:%22195e-56242e121b700%22	https://www.tutorialspoint.com/images/loading.gif	D:/httrack/java/Java/www.tutorialspoint.com/images/loading.gif	(from https://www.tutorialspoint.com/themes/css/style-min-v1.css?v=3.1.2.336)
11:40:19	2544/2544	---M--	200	added ('OK')	image/png	etag:%229f0-5a487eb337d86%22	https://www.tutorialspoint.com/images/controls.png	D:/httrack/java/Java/www.tutorialspoint.com/images/controls.png	(from https://www.tutorialspoint.com/themes/css/style-min-v1.css?v=3.1.2.336)
11:40:19	183/183	---M--	200	added ('OK')	image/png	etag:%22b7-568da3d68f080%22	https://www.tutorialspoint.com/images/list-icon.png	D:/httrack/java/Java/www.tutorialspoint.com/images/list-icon.png	(from https://www.tutorialspoint.com/themes/css/style-min-v1.css?v=3.1.2.336)
11:40:19	291/291	---M--	200	added ('OK')	image/png	etag:%22123-56813ce65d200%22	https://www.tutorialspoint.com/images/icon-bullet.png	D:/httrack/java/Java/www.tutorialspoint.com/images/icon-bullet.png	(from https://www.tutorialspoint.com/themes/css/style-min-v1.css?v=3.1.2.336)
11:40:20	370/370	---M--	200	added ('OK')	image/png	etag:%22172-56242e11274c0%22	https://www.tutorialspoint.com/images/link-icon.png	D:/httrack/java/Java/www.tutorialspoint.com/images/link-icon.png	(from https://www.tutorialspoint.com/themes/css/style-min-v1.css?v=3.1.2.336)
11:40:20	14605/14605	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jun%202021%2009:40:21%20GMT	https://www.tutorialspoint.com/themes/images/bnner-design-lib.png	D:/httrack/java/Java/www.tutorialspoint.com/themes/images/bnner-design-lib.56.delayed	(from https://www.tutorialspoint.com/themes/css/style-min-v1.css?v=3.1.2.336)
11:40:20	14605/14605	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jun%202021%2009:40:22%20GMT	https://www.tutorialspoint.com/themes/images/dropdown-top-icon.png	D:/httrack/java/Java/www.tutorialspoint.com/themes/images/dropdown-top-icon.57.delayed	(from https://www.tutorialspoint.com/themes/css/style-min-v1.css?v=3.1.2.336)
11:40:20	685/685	---M--	200	added ('OK')	image/png	etag:%222ad-58c3fd51f9b80%22	https://www.tutorialspoint.com/images/menu-list-icon.png	D:/httrack/java/Java/www.tutorialspoint.com/images/menu-list-icon.png	(from https://www.tutorialspoint.com/themes/css/style-min-v1.css?v=3.1.2.336)
11:40:21	21520/21520	---M--	200	added ('OK')	image/png	etag:%22577a2690-5410%22	https://www.transparenttextures.com/patterns/binding-light.png	D:/httrack/java/Java/www.transparenttextures.com/patterns/binding-light.png	(from https://www.tutorialspoint.com/themes/css/style-min-v1.css?v=3.1.2.336)
